BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,5000,51209,55320,DebtCon,,5,,1,69.1074656,,15,35.02507297
0,43300,18824,63487,DebtCon,Other,22,0,0,212.2548894,0,30,41.24673596
0,20400,153958,195834,DebtCon,Other,9,0,0,,1,15,31.13462438
0,32500,124548,169881,DebtCon,ProfExe,16,0,0,129.524283,1,17,28.85081359
1,15200,58000,77000,DebtCon,Other,0.9,1,0,127.8666667,3,26,
1,11300,56602,71500,DebtCon,Office,11,2,1,52.8,12,20,
1,36600,397299,512650,DebtCon,ProfExe,4,0,0,197.5166839,0,21,43.45832742
0,2000,64536,87400,,Mgr,2.5,0,0,147.1333333,0,24,
0,13600,,35396,DebtCon,Other,11,,,101.7935233,1,8,32.66950311
1,11000,85008,73223,HomeImp,Mgr,7,0,2,197.1200454,0,23,41.44105202
0,31000,118000,167000,DebtCon,ProfExe,17,0,0,127.0333333,1,17,
1,7500,63500,86125,HomeImp,Other,5,0,0,136.1,0,8,
0,16600,74681,95471,DebtCon,Other,6,0,0,187.6535104,4,19,40.45375316
1,5100,30755,46735,HomeImp,Other,10,0,0,69,0,17,
1,7000,142251,157250,HomeImp,Other,5,0,0,87.83333333,4,21,
0,18200,13925,94898,DebtCon,Other,22,0,0,223.901918,2,41,35.99822541
0,7900,77221,95316,DebtCon,ProfExe,4,0,0,116.3094934,0,25,35.42979658
0,9600,46683,61773,DebtCon,Office,1,0,0,171.058449,1,20,38.00528931
0,21700,59947,94103,DebtCon,Office,0,0,0,154.5525474,1,21,34.7717086
1,4500,39000,66000,HomeImp,Other,1,0,0,170.3666667,1,19,
1,5000,10171,26809,HomeImp,Office,13,3,6,228.3,0,24,
0,18300,90099,118545,DebtCon,ProfExe,12,0,0,140.5158506,3,18,38.89923169
0,8300,67839,76502,DebtCon,ProfExe,9,0,0,58.56017401,3,24,38.97429353
1,10000,36000,68800,DebtCon,Other,13,0,0,118.6666667,6,15,
1,5000,,94119,HomeImp,Other,19,,,,,,
1,20000,47696.03,112700,DebtCon,Other,16,0,3,123.7666667,0,23,
1,33500,54079,66261,HomeImp,Mgr,15,4,0,142,0,14,
1,15000,125000,177100,HomeImp,ProfExe,10,3,1,221.1666667,0,14,
0,89200,54045,92924,DebtCon,Other,15,0,0,212.2796967,0,15,35.55659049
1,42000,102000,165000,DebtCon,Office,12,1,1,237.3666667,0,19,
0,9300,54088,66961,DebtCon,Other,22,0,0,278.1604735,3,28,40.82354171
1,60000,86573,159920,DebtCon,ProfExe,7,0,5,332.7333333,3,22,
0,15600,58728,92443,HomeImp,ProfExe,6,0,0,128.0295993,0,13,28.48485856
0,26700,186185,233480,DebtCon,ProfExe,0,0,0,290.578837,1,32,41.74120105
0,25100,28778,50872,DebtCon,Other,28,0,0,304.1951532,,12,31.59946433
1,26900,69000,106500,DebtCon,Sales,0.6,0,1,115.7,2,19,
0,22800,96495,122362,HomeImp,Mgr,8,0,0,120.9792917,2,24,29.80983516
0,7300,93428,118184,HomeImp,Other,10,,,411.9520505,1,50,40.39647435
1,10400,51200,76125,DebtCon,Other,12,0,0,132.3666667,0,16,
1,27700,97834,132396,HomeImp,ProfExe,18,0,2,303.9519145,2,26,6.887024127
0,26700,,120179,DebtCon,Mgr,8,0,0,162.12582,0,27,35.09551993
1,5200,,9500,DebtCon,Other,1,0,1,81.1,1,2,
1,25900,58000,95000,,Self,3,0,1,34.66666667,6,28,
0,10900,56793,68825,DebtCon,Other,3,0,0,225.8890415,0,9,34.72787519
0,27300,53223,86696,DebtCon,Office,0,0,0,96.07068788,0,22,34.51779051
0,16200,,95280,,Other,,0,0,194.4600162,1,10,33.12372818
1,10000,50070,60670,HomeImp,Other,5,2,0,15.23333333,0,1,
1,8400,32000,49000,HomeImp,Mgr,12.6,0,3,41.3,2,18,
0,41600,,53078,DebtCon,Other,,6,,108.8701167,,20,26.98944023
0,12800,91040,114331,DebtCon,Other,12,0,0,175.8773501,0,26,34.74718504
0,8000,82547,105361,DebtCon,ProfExe,24,0,0,52.59326412,2,13,32.16092259
0,21500,129361,284790,HomeImp,Mgr,3,0,0,199.2195955,0,15,30.40625943
1,26500,82859,,HomeImp,Office,0.4,2,0,177.5,0,22,
0,13700,46611,65031,DebtCon,Other,2,0,0,179.4433323,0,13,37.70515917
1,13800,97778,116814,DebtCon,Other,15,1,3,120.7813962,1,22,23.20471329
1,25500,25828,44166,DebtCon,Other,,0,1,187.8625184,,17,39.42789016
1,4000,29562,37200,DebtCon,Other,6,0,0,92.13333333,1,26,
1,22000,82000,12500,DebtCon,ProfExe,3,0,0,117.7666667,6,23,
1,20000,14361,50000,DebtCon,Other,,0,1,216.0666667,1,10,
0,18600,58992,86816,DebtCon,,4,0,0,103.5042953,0,16,40.95659824
1,6500,13600,,HomeImp,Other,14,2,5,115.3666667,1,16,
1,31500,16000,43040,DebtCon,Other,0,1,1,98.43333333,1,11,
0,13600,112223,144451,DebtCon,ProfExe,0,0,0,259.733117,1,45,35.31021701
1,10000,13161,37700,DebtCon,Other,,3,0,79.1,2,9,
0,13400,78465,97506,DebtCon,Other,5,3,0,71.44366499,1,21,24.47029999
1,25000,98500,130000,DebtCon,Other,5,0,1,201.8333333,4,43,
0,39500,132485,192838,DebtCon,Mgr,,1,0,176.1238814,0,24,31.7374782
0,7000,78284,98214,HomeImp,Other,0,0,1,171.8383862,0,31,36.24796303
1,15800,,58995,HomeImp,Other,1,2,3,194.9870881,1,45,52.20316451
1,15700,53478,68885,DebtCon,Other,5,0,0,83.69551611,5,17,40.34993
0,14000,42000,60000,DebtCon,Mgr,27,1,0,281.0666667,1,17,
1,12500,69192,105300,DebtCon,Mgr,4,0,0,282.0333333,1,23,
1,11200,114000,139200,DebtCon,Mgr,5,0,0,213.5666667,1,36,
1,15000,98000,132790,DebtCon,Other,1.5,0,3,107.6666667,1,21,
0,8100,78508,200133,HomeImp,Self,14,0,0,9.1,,8,
1,19300,27747,43740,DebtCon,Office,7,1,0,167.6579808,1,16,35.08607055
1,8300,,47244,HomeImp,Other,6,,,,,,
1,10000,41741,56000,DebtCon,Office,3,0,0,20.23333333,2,6,
1,25000,71081,112500,DebtCon,Mgr,3,2,0,87.2,1,27,
1,3300,130518,164317,DebtCon,Other,9,0,6,192.289149,0,33,35.73055919
0,14600,206126,235912,HomeImp,ProfExe,10,0,0,236.5081164,0,21,30.18121716
0,26200,141109,245422,HomeImp,ProfExe,28,0,0,343.7871223,1,18,38.11355594
1,16500,52028,63745,DebtCon,Other,7,0,0,105.5303761,4,18,41.34484584
1,15000,18900,80400,DebtCon,ProfExe,7,0,1,142,0,12,
0,46200,117227,174882,DebtCon,Self,12,0,0,195.6411868,0,5,40.62161928
0,17900,97335,167384,,Other,,0,,250.4871084,,24,39.15632328
0,12800,,,,,,,,,,,25.13244854
0,16000,65901,85627,DebtCon,Office,5,0,0,117.3570325,0,20,21.44534142
1,7900,55383,70020,DebtCon,Other,12,2,0,80.7789415,10,8,44.85897732
0,24500,52000,84915,DebtCon,Office,0.4,0,1,93.16666667,0,23,
0,23400,125750,165732,DebtCon,ProfExe,6,0,0,195.0845391,0,38,20.73303164
0,15500,28269,52822,HomeImp,Other,9,0,0,120.6109212,1,9,18.18289192
0,13000,49268,72430,DebtCon,ProfExe,19,0,0,192.3644746,0,15,23.61710487
1,5000,,37500,HomeImp,Other,,0,3,107.1333333,10,5,
1,8500,18240,40200,HomeImp,Other,1,0,1,306.4,0,12,
1,40000,,850000,HomeImp,Other,17,0,0,186.6666667,1,24,
0,8500,73208,88588,DebtCon,Mgr,10,0,0,114.5525823,0,23,30.08248898
0,28600,85174,127306,DebtCon,Other,1,0,0,193.0739135,1,24,40.65624858
0,24900,134427,169444,DebtCon,Other,7,1,0,202.4473261,0,19,35.3492119
0,19900,68830,107598,DebtCon,Office,10,0,0,202.9341954,2,13,30.95751627
0,15900,68304,92271,DebtCon,Other,1,1,2,113.2284034,2,25,32.88184693
0,14700,10098,51653,DebtCon,ProfExe,3,0,0,302.652472,0,16,18.42392382
1,21200,69212,106273,DebtCon,ProfExe,12,0,1,97.2311228,0,22,18.11489583
0,26400,122105,165000,DebtCon,Mgr,1,0,0,234.4,2,24,
0,17000,55820,88683,DebtCon,Office,0.5,0,0,74.03333333,0,23,
0,27800,64804,97553,DebtCon,Other,15,1,0,105.0986638,1,17,32.17786106
1,15000,37000,58488,HomeImp,Other,2,0,0,266.9333333,0,48,
1,15000,48786,72500,DebtCon,Other,10,0,0,75.4,2,9,
1,5700,74172,79846,DebtCon,ProfExe,0,0,0,157.0097747,0,28,47.41522866
1,47000,164411,235500,DebtCon,Office,17,0,1,181.9333333,3,48,
1,50000,202601,288000,DebtCon,ProfExe,3,1,1,160.6666667,2,30,
1,15700,149305,,DebtCon,ProfExe,25,0,2,382.8588359,0,71,38.22834475
1,9300,84900,105798,DebtCon,ProfExe,2,0,0,41.8072046,1,3,26.9566979
0,14400,64500,83000,DebtCon,Other,10,0,0,83.2,3,11,
0,52200,,90240,HomeImp,Other,,0,0,341.8288117,0,7,24.01667109
1,10000,,65088,HomeImp,Mgr,3.5,4,5,205.0666667,2,39,
0,6000,,69492,,,,,,,,,32.97719723
0,23100,72712,185787,,Other,10,0,0,362.1817044,1,16,31.86715522
0,11900,89595,107895,HomeImp,Mgr,9,0,0,250.4682419,0,24,30.30538811
1,61400,46126,83800,,Other,33,0,1,339.9,1,23,
0,22300,72814,186463,,Other,10,0,0,367.2473584,1,16,30.33358791
1,10300,70147,122124,HomeImp,Other,1,0,0,58.8956859,0,7,57.99501862
0,11900,61094,74842,,Other,12,0,0,250.1998344,0,26,29.73487407
0,17800,8642,88369,HomeImp,Other,13,0,0,265.022103,0,22,26.48079237
1,22300,71800,100000,DebtCon,Sales,0.1,0,0,220.1333333,1,26,
1,23800,9124,41900,DebtCon,Other,28,0,2,120.7333333,1,16,
0,7100,64850,76985,HomeImp,Other,0,0,0,108.2171898,0,7,36.33755756
1,6500,183860,208910,DebtCon,ProfExe,4,6,0,86.45222694,6,29,69.8005248
0,14300,80299,123339,,,,,,,,,35.31117092
0,12500,37562,57081,HomeImp,Other,22,0,1,129.486844,0,23,39.08300244
0,22100,,65192,HomeImp,Office,9,0,0,128.1567931,1,4,18.8829556
0,22000,48041,88433,DebtCon,Other,12,0,0,96.33643462,0,10,5.226673619
0,16400,107669,115881,DebtCon,Other,0,0,0,136.8121195,1,21,39.69996168
0,13900,78442,105065,HomeImp,ProfExe,0,0,0,71.55047746,0,19,34.75170874
0,11400,64934,74875,DebtCon,Other,3,0,0,192.3144827,2,16,34.34375572
1,5200,40564,39527,HomeImp,Other,0,0,0,157.7710357,1,13,72.67043331
0,17400,11147,166496,HomeImp,Mgr,23,0,0,73.46751776,1,19,29.53166415
0,33200,23858,40268,DebtCon,Other,0,0,0,56.60389545,0,7,16.6958286
0,20500,67852,97944,HomeImp,Office,14,0,0,141.0053448,0,14,36.6093894
0,37700,141260,205493,HomeImp,ProfExe,5,0,0,148.1372394,0,31,34.3029739
0,8000,61565,87624,DebtCon,ProfExe,14,0,0,203.9971364,0,17,23.56256501
1,9700,53000,56000,DebtCon,Office,2,0,0,75.03333333,5,18,
0,9100,62976,77829,HomeImp,Mgr,0,0,2,131.193496,0,23,26.09041891
1,15000,106239,135942,DebtCon,ProfExe,19.5,0,1,9.1,2,24,
0,16100,54715,71673,DebtCon,Office,1,0,0,186.2158287,0,25,29.67050636
1,3600,41900,52490,HomeImp,Mgr,3,0,0,72.03333333,2,4,
0,26200,49323,77160,DebtCon,Other,23,,1,286.1816551,0,29,39.67630465
0,25300,51261,87025,DebtCon,Mgr,4,0,0,249.8361848,2,25,31.65878641
0,13300,66502,78138,DebtCon,Other,4,0,0,178.1121065,1,16,33.79509124
1,24800,76220,102087,HomeImp,Mgr,6,0,1,126.6410196,0,32,48.56957404
0,29400,119256,160683,DebtCon,ProfExe,6,0,0,109.121197,3,27,33.30176289
0,15300,42100,65000,DebtCon,Other,7,0,0,95.33333333,3,15,
1,9900,37609,120186,DebtCon,Other,,0,0,176.367839,3,30,53.17891111
0,9300,,36793,HomeImp,Other,,,,304.5201894,,11,30.73881376
0,19400,63508,12414,DebtCon,Other,5,,,64.40760462,1,16,40.57016916
1,25000,104000,188500,DebtCon,Other,0.7,0,11,194.8,1,14,
0,9800,62826,65912,HomeImp,Other,6,0,0,132.7524896,0,34,37.58819954
0,13200,70069,88303,DebtCon,Other,3,0,0,240.8560165,2,25,29.06412827
0,12700,,41396,HomeImp,Other,0,0,0,302.8700505,1,8,27.98946659
1,15000,40000,58000,,ProfExe,4,7,0,268.8333333,3,26,
0,22400,47687,65704,DebtCon,Office,6,0,0,174.5578971,2,27,36.21976783
0,15200,65000,92000,DebtCon,Office,1,0,0,152.1333333,4,20,
1,21800,99753,128000,HomeImp,ProfExe,15,1,2,286.1,3,26,
1,10000,65000,80000,DebtCon,Other,2,0,0,26.36666667,3,2,
1,16000,20000,60000,HomeImp,Other,11,0,0,51.03333333,0,9,
1,10600,53200,71000,DebtCon,ProfExe,2,0,0,224.2333333,5,39,
0,4100,57992,63797,DebtCon,ProfExe,7,0,4,165.505037,1,31,22.27817437
0,16900,78455,121450,,,,,,,,,33.74237455
0,22000,88898,121357,HomeImp,Mgr,12,0,0,115.8322132,2,24,31.10896086
1,16800,69284,,DebtCon,Office,21,0,0,190.6933138,1,20,35.89402586
1,15000,163000,207562,DebtCon,ProfExe,6,0,0,247.5842491,1,27,
0,8700,,32855,HomeImp,,,,,,,,35.93790268
0,20000,9647,31920,DebtCon,Other,0,1,0,24.68623145,1,3,28.94036033
1,24200,37500,,,ProfExe,4,0,0,123.8,0,14,
1,10200,52310,74117,DebtCon,Other,13,0,3,118.6957855,2,23,
0,4900,65873,90408,,Mgr,2,0,0,141.858999,0,23,37.76961861
0,9700,98232,117321,DebtCon,Other,19,0,2,194.4247179,2,15,36.95089224
1,15000,89000,122400,HomeImp,Mgr,1,0,2,136.4666667,0,19,
0,20000,22036,51068,DebtCon,Other,25,0,2,210.7198667,0,25,29.16004451
1,8900,133847,157399,HomeImp,ProfExe,17,0,2,70.88414409,0,12,34.70233074
1,8000,33689.3,48000,DebtCon,Other,3,0,0,103.7333333,0,13,
0,7500,88056,104794,DebtCon,ProfExe,25,0,0,56.75011314,2,14,30.53890697
1,28300,104686,136033,HomeImp,ProfExe,13,0,2,291.1716614,1,27,5.762994872
1,20000,71254,109200,DebtCon,Other,10,,,,,,
0,11900,85486,109386,HomeImp,ProfExe,11,0,1,175.5425655,0,28,33.67090818
0,18200,61554,94510,DebtCon,Office,2,0,0,161.3526933,0,24,23.89655471
0,20700,80124,99938,DebtCon,Mgr,7,0,0,69.32471958,7,24,38.67963357
0,18700,110292,132953,DebtCon,ProfExe,7,0,0,105.4248876,0,14,30.55275232
1,25400,83943,129189,DebtCon,Mgr,,1,1,5.243341044,,41,42.93355731
0,24300,42276,68775,DebtCon,Other,24,0,0,309.6835856,2,31,32.74650689
1,40900,217000,290000,DebtCon,ProfExe,30,1,0,230.2666667,2,25,
0,20800,29503,54923,DebtCon,Other,,0,0,215.4807143,0,12,38.73213217
0,21700,79240,96784,DebtCon,Mgr,5,0,0,64.50842359,6,24,38.07896313
